Municipio,An~o,Poblacion
Peñuelas,1910,11991
Peñuelas,1920,13598
Peñuelas,1930,13278
Peñuelas,1935,14359
Peñuelas,1940,14789
Peñuelas,1950,14931
Peñuelas,1960,14887
Peñuelas,1970,15973
Peñuelas,1980,19116
Peñuelas,1990,22515
Peñuelas,2000,26719
Peñuelas,2010,24282
Ponce,1899,55477
Ponce,1910,63444
Ponce,1920,71426
Ponce,1930,87604
Ponce,1935,97779
Ponce,1940,105116
Ponce,1950,126810
Ponce,1960,145586
Ponce,1970,158981
Ponce,1980,189046
Ponce,1990,187749
Ponce,2000,186475
Ponce,2010,166327
Quebradillas,1899,7432
Quebradillas,1910,8152
Quebradillas,1920,9404
Quebradillas,1930,10190
Quebradillas,1935,10942
Quebradillas,1940,11494
Quebradillas,1950,13712
Quebradillas,1960,13075
Quebradillas,1970,15582
Quebradillas,1980,19728
Quebradillas,1990,21425
Quebradillas,2000,25450
Quebradillas,2010,25919
Rincón,1899,6641
Rincón,1910,7275
Rincón,1920,8476
Rincón,1930,8178
Rincón,1935,8352
Rincón,1940,9256
Rincón,1950,9888
Rincón,1960,8706
Rincón,1970,9094
Rincón,1980,11788
Rincón,1990,12213
Rincón,2000,14767
Rincón,2010,15200
Río Grande,1899,12365
Río Grande,1910,13948
Río Grande,1920,13247
Río Grande,1930,14085
Río Grande,1935,15757
Río Grande,1940,16116
Río Grande,1950,16651
Río Grande,1960,17233
Río Grande,1970,22032
Río Grande,1980,34283
Río Grande,1990,45648
Río Grande,2000,52362
Río Grande,2010,54304
Río Piedras,1899,13760
Río Piedras,1910,18880
Río Piedras,1920,23035
Río Piedras,1930,40853
Río Piedras,1935,52146
Río Piedras,1940,68290
Río Piedras,1950,143989
Río Piedras,1960,--
Río Piedras,1970,--
Río Piedras,1980,--
Río Piedras,1990,--
Río Piedras,2000,--
Río Piedras,2010,--
Sabana Grande,1899,10560
Sabana Grande,1910,11523
Sabana Grande,1920,12305
Sabana Grande,1930,11881
Sabana Grande,1935,12592
Sabana Grande,1940,14146
Sabana Grande,1950,16097
Sabana Grande,1960,15910
Sabana Grande,1970,16343
Sabana Grande,1980,20207
Sabana Grande,1990,22843
Sabana Grande,2000,25935
Sabana Grande,2010,25265
Salinas,1899,5731
Salinas,1910,11403
Salinas,1920,12971
Salinas,1930,15446
Salinas,1935,18245
Salinas,1940,19400
Salinas,1950,23435
Salinas,1960,23133
Salinas,1970,21837
Salinas,1980,26438
Salinas,1990,28335
Salinas,2000,31113
Salinas,2010,31078
San Germán,1899,20246
San Germán,1910,22143
San Germán,1920,23848
San Germán,1930,23768
San Germán,1935,25273
San Germán,1940,26473
San Germán,1950,29553
San Germán,1960,27667
San Germán,1970,27990
San Germán,1980,32922
San Germán,1990,34962
San Germán,2000,37105
San Germán,2010,35527
San Juan,1899,32048
San Juan,1910,48716
San Juan,1920,71443
San Juan,1930,114715
San Juan,1935,137215
San Juan,1940,169247
San Juan,1950,224767
